iter,loss,rmse,focal
1,2504.81201171875,50.048095703125,900.0
20,734.9611206054688,27.110166549682617,900.0089721679688
40,354.9198303222656,18.83931541442871,900.0146484375
60,248.30056762695312,15.757555961608887,900.0192260742188
80,213.1739044189453,14.600476264953613,900.0228881835938
100,196.67608642578125,14.024125099182129,900.0265502929688
120,184.92657470703125,13.598771095275879,900.0302124023438
140,174.677734375,13.216570854187012,900.0338745117188
160,171.64552307128906,13.10135555267334,900.0375366210938
180,167.57237243652344,12.944974899291992,900.0411987304688
200,161.52330017089844,12.709181785583496,900.0448608398438
220,159.089599609375,12.613072395324707,900.0485229492188
240,153.53155517578125,12.390785217285156,900.0521850585938
260,154.2534942626953,12.419882774353027,900.0558471679688
280,150.18434143066406,12.254972457885742,900.0595092773438
300,150.31954956054688,12.26048755645752,900.0631713867188
320,147.0177001953125,12.125085830688477,900.0668334960938
340,146.14300537109375,12.08896255493164,900.0704956054688
360,146.8868865966797,12.11968994140625,900.0741577148438
380,144.27896118164062,12.011617660522461,900.0778198242188
400,145.20938110351562,12.050285339355469,900.0814819335938
420,144.02835083007812,12.001181602478027,900.0851440429688
440,144.7880859375,12.032792091369629,900.0888061523438
460,141.82301330566406,11.908946990966797,900.0924682617188
480,142.96011352539062,11.956592559814453,900.0961303710938
500,139.85267639160156,11.825932502746582,900.0997924804688
520,138.90029907226562,11.78559684753418,900.1034545898438
540,140.33316040039062,11.846229553222656,900.1071166992188
560,141.545654296875,11.897295951843262,900.1107788085938
580,140.88499450683594,11.869498252868652,900.114501953125
600,139.2281036376953,11.799495697021484,900.1182250976562
620,139.0631866455078,11.792505264282227,900.1220092773438
640,139.71820068359375,11.820245742797852,900.1259155273438
660,138.41241455078125,11.764880180358887,900.1295776367188
680,138.70108032226562,11.777142524719238,900.1334838867188
700,139.75927734375,11.821982383728027,900.1375732421875
720,136.60821533203125,11.687952041625977,900.1419677734375
740,137.23239135742188,11.714622497558594,900.1466064453125
760,137.39547729492188,11.72158145904541,900.1514892578125
780,140.8011016845703,11.86596393585205,900.1561889648438
800,136.19979858398438,11.670467376708984,900.1610717773438
